Year,Month,price_eur_mwh,demand_mwh,res_generation_mwh,Pct_Demand_Covered,Surplus_Deficit,YearMonth_Str
2028,12,184.2280022405809,22298740.267137095,8055798.341733871,36.12669704757337,-14242941.925403224,2028-12
2029,1,177.83452581590223,22916145.710685484,8153399.077620967,35.57927751270646,-14762746.633064516,2029-01
2029,2,170.08652550833565,23368725.80357143,8142429.927455357,34.843277275353,-15226295.87611607,2029-02
2029,3,179.9769036077684,23344753.155241936,8181329.833669356,35.04569004976728,-15163423.32157258,2029-03
2029,4,164.74986216227214,23211743.203125,8244979.148437501,35.52072361082936,-14966764.0546875,2029-04
2029,5,134.56983800088204,23471641.633064516,8257326.577620967,35.18001299912856,-15214315.055443548,2029-05
2029,6,134.0964673360189,23361658.921874996,8236107.492187499,35.254805832626516,-15125551.429687496,2029-06
2029,7,133.96847041960686,23569117.938508064,8184720.211693548,34.72645956903232,-15384397.726814516,2029-07
2029,8,135.43840839016823,23616947.268145163,8112212.464717742,34.34911537300842,-15504734.80342742,2029-08
2029,9,137.34761784871418,23269297.124999996,8068060.335937498,34.6725571150551,-15201236.789062498,2029-09
2029,10,136.82946309735698,23561742.610887095,8090303.860887096,34.336610812261554,-15471438.75,2029-10
2029,11,166.5591242472331,23476493.765625,8082392.3671875,34.42759573843171,-15394101.3984375,2029-11
2029,12,185.71437121975808,22227000.740927417,8060381.3331653215,36.26391804776178,-14166619.407762095,2029-12
